,game,player,offball_zone_one,offball_zone_two,offball_zone_three,offball_zone_four,offball_zone_five,ball_one,ball_two,ball_three,ball_four,ball_five
0,20141114,842298,0,0,"(0.9418791080793177, 12)","(0.8581890221721494, 24)","(0.7701261691898322, 171)","(0.3157011261096847, 1)","(1.5389577571576882, 2)","(0.8956617056241224, 3)","(0.973398906587889, 9)","(0.8667916406696634, 42)"
1,20141114,842297,"(1.0, 1)","(1.0, 1)","(0.8553851265824233, 13)","(0.7865266621620061, 26)","(0.8648156456534546, 167)",0,0,0,"(0.9099319039717462, 8)","(0.9862445857149286, 78)"
2,20141114,601140,0,0,"(0.8650234524685145, 11)","(0.9031695616776019, 19)","(0.8534886101141957, 173)",0,"(1.562364315522577, 1)","(0.9313219200654572, 4)","(0.9853264592874955, 9)","(0.955952361050134, 80)"
3,20141114,696290,"(0.8984731821874845, 4)","(0.632028691659014, 8)","(0.8274473891909822, 79)","(0.9655915259892046, 37)","(1.1899742749353541, 46)",0,0,"(0.8467360138913085, 6)","(1.3525868984768075, 1)","(1.4758919885988564, 5)"
4,20141114,842301,"(0.8500533165096636, 3)","(0.9940476360841846, 7)","(0.7957168231896876, 211)","(0.7253148072143386, 21)","(0.820117296269755, 11)","(-0.20280845205081321, 3)","(0.14635281046965326, 3)","(0.7947542941659649, 25)","(1.6782736787097197, 1)",0
5,20141114,601143,"(0.5634812106940892, 2)","(0.8717963123824722, 14)","(0.8212577494197852, 87)","(1.0104680516263038, 67)","(1.052258055488991, 28)",0,"(0.5685009645316716, 1)","(0.7230632025932884, 4)","(0.7593164032734039, 9)",0
6,20141114,792415,0,"(1.003419561050169, 8)","(0.9265622165351165, 70)","(1.00465753318014, 67)","(0.8477537627911891, 84)",0,0,0,0,"(0.6684316009224722, 16)"
7,20141114,696289,0,"(1.0, 1)","(0.6769032104727768, 19)","(0.6435291033831254, 21)","(0.8958684625874002, 94)","(3.337489028822921, 3)",0,"(0.8814912009471293, 11)","(1.0704710761881164, 11)","(1.1050627186440534, 82)"
8,20141114,842296,0,"(1.0, 1)","(0.9229749454113192, 19)","(0.8573121210394876, 22)","(0.8800452908293404, 95)","(1.8544903572514286, 3)",0,"(0.9903147942626199, 1)","(1.1227097364578071, 1)","(1.0288816706363437, 43)"
9,20141114,756883,0,"(1.0544311828382984, 2)","(1.0830626041482754, 10)","(1.0536774561058155, 43)","(0.8597121154750798, 114)",0,0,"(1.0681520456313798, 3)","(0.7782764173022503, 4)","(0.9138268237411443, 18)"
10,20141114,786843,"(0.8518986408060734, 6)",0,"(0.8554282167674649, 10)","(0.9075888213759921, 8)","(0.7428521600638633, 26)",0,0,0,0,"(0.7691242387443458, 2)"
11,20141114,842313,0,0,"(0.8457984203613323, 5)","(0.7674821787550832, 4)","(0.7186356231936145, 7)",0,0,0,0,"(0.8329176784286859, 2)"
12,20141115,842297,"(0.5645927356747137, 2)","(0.8480168537721227, 3)","(0.6667663711042596, 23)","(0.5891735846206114, 21)","(0.8703737940935548, 190)",0,"(0.9599834114535324, 1)","(0.9423880152136747, 7)","(0.92862552471768, 8)","(0.9398028392115414, 103)"
13,20141115,842301,"(0.8770221127150094, 5)","(0.8668026914223236, 19)","(0.7174214876115054, 336)","(0.7592329268593526, 30)","(0.8617682727334431, 15)","(0.9048209998784776, 6)","(0.7568244233377576, 5)","(0.8479174451749325, 37)","(1.027388870125107, 3)","(0.8708264539614368, 5)"
14,20141115,842298,"(1.0, 4)","(0.939844760833363, 1)","(0.6618186003523827, 32)","(1.0039429553128438, 41)","(0.9122318308122687, 227)","(1.4620602533393372, 1)","(1.7896475178785831, 3)","(0.9059560559563457, 9)","(1.0300345928903825, 8)","(0.9535398056278226, 62)"
15,20141115,601140,"(0.6528452077511686, 1)","(0.2873960135719296, 2)","(0.7676777307892568, 13)","(0.7126717462415716, 15)","(0.8905241020025727, 281)",0,0,"(0.6376925789080282, 6)","(0.8833655817812227, 10)","(0.9639545231074351, 114)"
16,20141115,696290,"(1.0, 2)","(0.769500703415656, 21)","(0.7494880885923209, 149)","(0.8744023941588074, 67)","(0.840356561671812, 113)","(-0.27215480632360606, 4)","(-0.23966918030958503, 3)","(0.5182725394464501, 28)","(0.6046553651381398, 14)","(0.7865066935591873, 13)"
17,20141115,601519,0,0,"(0.48564734766650913, 1)",0,0,0,0,0,0,0
18,20141115,601143,"(0.8084796450399431, 5)","(0.8545479758980323, 23)","(0.6367905857030243, 112)","(0.7030388408552892, 32)","(0.9958067701249402, 17)",0,"(0.7036300231359409, 1)","(1.1119846631311856, 5)","(0.7200963819260736, 8)","(0.5405023043604528, 3)"
19,20141115,696289,"(1.0, 1)","(0.33381492066629737, 1)","(0.5630287966985903, 20)","(0.9693414610993792, 11)","(1.0286928770058104, 167)",0,0,"(0.9130106649875214, 6)","(1.083587363989174, 8)","(1.0287712756775877, 89)"
20,20141115,756883,"(0.8826026187601683, 3)","(0.8062328723070654, 9)","(0.897121943092609, 31)","(0.9993059888332783, 37)","(0.8862047329376168, 213)","(1.652087857275759, 1)",0,"(1.0360909119947581, 1)",0,"(0.921359243586379, 14)"
21,20141115,792415,"(1.0, 3)","(0.7977263591845865, 2)","(0.6958673148043215, 44)","(0.8108230365600558, 21)","(0.754225069454513, 76)",0,0,0,"(1.066521795466133, 1)","(0.7204557978460764, 13)"
22,20141115,842296,0,0,"(0.7503055137588587, 11)","(1.1052118207425967, 13)","(0.9360212366174832, 125)","(1.790657944597526, 1)",0,"(1.3224369695435165, 2)","(1.0289017747510996, 4)","(1.0496791508714913, 34)"
23,20141115,712599,0,0,0,"(0.6985885485111504, 1)",0,0,0,0,0,0
