,shooter,game,x,y,value,NN_probability,SVM_probability
0,842298,20141114,24.16832,87.37836,2,0.227218688,0.56644653
1,842298,20141114,23.29794,86.87686,2,0.225946128,0.538147978
2,842298,20141114,19.49877,86.57845,2,0.551880121,0.441213187
3,842298,20141114,7.72555,75.63869,3,0.347811729,0.483969967
4,842298,20141114,22.14079,87.31722,2,0.552128911,0.612373866
5,842298,20141114,27.16747,68.48652,2,0.51335144,0.396648096
6,842298,20141114,21.54384,12.21998,2,0.245132849,0.374644637
7,842298,20141114,46.30844,6.91183,3,0.252738357,0.353470153
8,842298,20141114,27.0715,6.32333,2,0.50455749,0.651874038
9,842298,20141114,21.30758,5.27502,2,0.63210237,0.455858599
10,842298,20141114,24.43122,8.92763,2,0.505446911,0.619020419
11,842298,20141114,6.3993,16.60862,3,0.086825557,0.38524979
12,842298,20141115,22.47058,85.1782,2,0.816233873,0.610720411
13,842298,20141115,8.01438,72.58023,3,0.316680223,0.488346228
14,842298,20141115,27.0764,81.88102,2,0.552290082,0.376782376
15,842298,20141115,24.16339,85.25299,2,0.543147922,0.602021392
16,842298,20141115,2.74507,84.81884,3,0.676370561,0.387209129
17,842298,20141115,9.68821,84.82432,2,0.570039928,0.544557189
18,842298,20141115,27.84956,89.29351,2,0.268968105,0.662161392
19,842298,20141115,25.53238,9.42802,2,0.638552427,0.559287902
20,842298,20141115,26.41817,12.77943,2,0.548011661,0.523397443
21,842298,20141115,23.85291,10.25941,2,0.073675096,0.434177728
22,842298,20141118,23.92213,85.48314,2,0.615608394,0.676028038
23,842298,20141118,27.48486,82.05681,2,0.25107488,0.418206768
24,842298,20141118,31.79576,70.99624,2,0.553787112,0.439914405
25,842298,20141118,22.33436,89.88415,2,0.711773813,0.425175428
26,842298,20141118,4.79778,78.93697,3,0.56472528,0.479571261
27,842298,20141118,31.7841,83.13256,2,0.291457772,0.371913733
28,842298,20141118,15.97395,27.03012,3,0.42001012,0.373677242
29,842298,20141118,29.12541,8.83046,2,0.53243953,0.566078291
30,842298,20141118,21.5568,8.77173,2,0.579284191,0.564614443
31,842298,20141118,21.39835,6.032,2,0.547630608,0.545605783
32,842298,20141118,25.97448,11.17293,2,0.5475685,0.574185389
33,842298,20141121,22.96102,5.52946,2,0.134248137,0.565156776
34,842298,20141121,7.88982,21.91129,3,0.401221097,0.474600593
35,842298,20141121,21.20474,6.88295,2,0.818556726,0.633932104
36,842298,20141121,15.79336,69.3057,3,0.204277292,0.35467576
37,842298,20141121,20.58337,89.01482,2,0.288363367,0.55568205
38,842298,20141121,10.059,73.8736,3,0.531583905,0.386121787
39,842298,20141121,17.34041,68.73875,3,0.431711435,0.403501447
40,842298,20141121,41.73952,75.60207,3,0.182740867,0.421786918
41,842298,20141122,39.0265,28.44747,3,0.229288712,0.454487198
42,842298,20141122,4.54173,6.40374,2,0.134341717,0.408028455
43,842298,20141122,27.03813,11.85292,2,0.556391716,0.5
44,842298,20141122,12.25869,24.01518,3,0.257044792,0.441323352
45,842298,20141122,25.35395,26.21753,3,0.378789991,0.44989785
46,842298,20141122,26.10693,22.06775,2,0.544893265,0.445236915
47,842298,20141122,25.2856,4.86809,2,0.82129389,0.653107161
48,842298,20141122,3.66577,5.73832,3,0.257297754,0.41539616
49,842298,20141122,6.09067,78.5815,3,0.418390125,0.511855586
50,842298,20141122,34.14959,68.4771,3,0.379022986,0.362195763
51,842298,20141126,7.1039,70.01707,3,0.507665575,0.485591538
52,842298,20141126,9.46062,72.769,3,0.592129529,0.425408116
53,842298,20141126,27.50178,84.73192,2,0.999721587,0.662018052
54,842298,20141126,23.58111,88.66992,2,0.528252184,0.604766177
55,842298,20141126,26.96971,87.95335,2,0.29532814,0.564354489
56,842298,20141126,26.42249,7.49148,2,0.452844739,0.491092345
57,842298,20141126,40.5125,19.91915,3,0.329257786,0.386147724
58,842298,20141130,25.24166,85.2171,2,0.591009736,0.658963153
59,842298,20141130,46.52007,5.75338,3,0.42037788,0.419455097
60,842298,20141130,40.28135,22.46639,3,0.401167661,0.505386447
61,842298,20141130,27.12957,8.60358,2,0.700387955,0.579095137
62,842298,20141215,27.98958,87.39,2,0.686280787,0.633895455
63,842298,20141215,21.41977,86.36789,2,0.996489942,0.690877392
64,842298,20141215,27.95039,85.93973,2,0.917323709,0.699327769
65,842298,20141215,29.12038,83.88693,2,0.551527381,0.584535209
66,842298,20141215,7.18808,86.11773,2,0.260860175,0.415077164
67,842298,20141215,32.17816,26.00113,3,0.349611312,0.394438359
68,842298,20141215,24.93327,7.73721,2,0.554326892,0.669597363
69,842298,20141215,3.49174,8.27142,3,0.70068866,0.455196363
70,842298,20141215,3.55235,8.76685,3,0.456620663,0.418164446
71,842298,20141215,11.34804,27.07875,3,0.262652516,0.390180308
72,842298,20141229,23.04733,86.37051,2,0.939070523,0.692618852
73,842298,20141229,20.35616,81.79965,2,0.337585509,0.486145676
74,842298,20141229,19.61105,85.03074,2,0.79523766,0.5
75,842298,20141229,19.20226,68.20923,3,0.545801401,0.550403295
76,842298,20141229,17.78139,85.16331,2,0.149070129,0.393190412
77,842298,20141229,26.84123,86.4121,2,0.574602246,0.533131564
78,842298,20141229,40.92316,77.21137,2,0.55141443,0.393570592
79,842298,20141229,3.36164,7.32493,3,0.388928324,0.5
80,842298,20141229,6.211,19.15941,3,0.203644037,0.407742242
81,842298,20141231,27.14,89.72454,2,0.585022867,0.623914206
82,842298,20141231,46.85975,86.63978,3,0.550260782,0.380563061
83,842298,20141231,3.18244,85.99275,3,0.389476508,0.448234507
84,842298,20141231,26.54433,72.76849,2,0.555684388,0.456778392
85,842298,20141231,23.63377,87.77229,2,0.713570654,0.657742824
86,842298,20141231,3.61382,85.9479,3,0.631426096,0.481199946
87,842298,20141231,20.25066,90.23951,2,0.628783226,0.587795822
88,842298,20141231,25.85802,86.15989,2,0.551961422,0.466061625
89,842298,20141231,25.51336,87.96471,2,0.553042769,0.614654725
90,842298,20141231,48.80922,90.75507,3,0.377985686,0.463945653
91,842298,20141231,26.91741,21.90037,2,0.508086741,0.398977529
92,842298,20150103,4.11914,82.10619,3,0.223686829,0.51191296
93,842298,20150103,22.08641,89.28609,2,0.670303166,0.64969602
94,842298,20150103,21.53781,86.07782,2,0.557349265,0.494467243
95,842298,20150103,21.72575,84.94643,2,0.797526896,0.680245482
96,842298,20150103,26.93991,9.66539,2,0.827789307,0.586416746
97,842298,20150103,46.24709,4.22862,3,0.271223664,0.377379324
98,842298,20150103,23.68105,9.62417,2,0.553732991,0.465918088
99,842298,20150113,26.97452,87.42356,2,0.262862265,0.5
100,842298,20150113,24.20328,85.90065,2,0.550321281,0.411477841
101,842298,20150113,22.64599,88.65736,2,0.573780119,0.566645863
102,842298,20150113,47.1418,88.05623,3,0.265243351,0.386714529
103,842298,20150113,23.8976,8.85991,2,0.806394398,0.652731688
104,842298,20150113,3.35409,5.04834,3,0.288589209,0.363537764
105,842298,20150119,41.29611,89.18424,2,0.548073113,0.472029914
106,842298,20150119,4.42181,83.49568,3,0.359023273,0.463539932
107,842298,20150119,4.3759,80.63041,3,0.37383911,0.416763696
108,842298,20150119,46.2632,88.43893,3,0.268170923,0.461009348
109,842298,20150119,24.36016,10.55545,2,0.171186134,0.420208089
110,842298,20150119,45.97383,10.02777,3,0.639321983,0.413978531
111,842298,20150119,26.05235,9.29353,2,0.543127656,0.584703165
112,842298,20150204,28.32413,85.36066,2,0.556983054,0.560761242
113,842298,20150204,37.04521,70.52449,3,0.398009598,0.391237021
114,842298,20150204,24.80097,84.89433,2,0.686629236,0.656076296
115,842298,20150204,23.03529,89.08346,2,0.548609138,0.430199165
116,842298,20150204,26.11586,87.01103,2,0.738028944,0.583351064
117,842298,20150204,23.65097,9.20488,2,0.999227881,0.66191505
118,842298,20150207,23.61437,87.25019,2,0.867021143,0.685724373
119,842298,20150207,24.73708,85.60866,2,0.547672212,0.604103843
120,842298,20150207,26.65414,87.11075,2,0.995555937,0.659999251
121,842298,20150207,3.60886,87.27657,3,0.744229913,0.48949404
122,842298,20150207,27.85422,3.91174,2,0.430196792,0.414339835
123,842298,20150207,19.35443,26.61417,3,0.228535384,0.383397998
124,842298,20150207,24.91315,9.34468,2,0.469012499,0.642458305
125,842298,20150207,23.70507,5.66077,2,0.550832927,0.564186178
126,842298,20150207,23.17654,8.86788,2,0.550944686,0.5
127,842298,20150207,17.17846,-1.16595,2,0.547754943,0.566740517
128,842298,20150207,21.51981,7.44296,2,0.588049769,0.653380212
129,842298,20150218,13.83582,81.41805,2,0.55592531,0.565663185
130,842298,20150218,20.68059,86.94385,2,0.786810219,0.614640036
131,842298,20150218,23.17892,92.56138,2,0.548673749,0.572842895
132,842298,20150218,20.22662,5.80398,2,0.305091053,0.410909302
133,842298,20150218,22.75612,5.85593,2,0.589245737,0.588116231
134,842298,20150218,25.61757,10.3331,2,0.818771899,0.562742461
135,842298,20150218,22.83976,9.13013,2,0.11025551,0.37614517
136,842298,20150218,10.07358,22.43058,3,0.267578691,0.392039807
